image_id,source_path,file_exists,decode_valid,file_size,width,height,format,EXIF_orientation,content_hash,duplicate_hash_count,farm_id,zone_id,capture_timestamp,timestamp_precision,alignment_policy,alignment_confidence,image_role_candidate,embedding_status
event_43f795df467a907ab28428b57e094ee1aff2443f6a77aa76d24aa5293784d454,data/I_images/F209570/image_002.jpg,True,True,19187,319,216,JPEG,,deb77beebace3f165bf345438ca15f9941291c210431017d87240bd8eab0aaba,1,F209570,,,period,case_period_end,LOW,UNRESOLVED,pending
event_a056fea857ccf012c6a7d091db6952bc119159c2bd0420872065137b6fc782a6,data/I_images/F209570/image_003.jpg,True,True,19958,319,216,JPEG,,99ded77029ab33be7b47ca098be27a1d7a97d74bd95e7a00f70256b58a8196a5,1,F209570,,,period,case_period_end,LOW,UNRESOLVED,pending
event_7ad7878739d3bea6f6c5999cccd7f3fe6149f4ae3aa188b01e836e242b9dda0a,data/I_images/F241573/image_003.jpg,True,True,19234,306,204,JPEG,,8e9e340d4956065ffe2a5b0ff1ccfdf38695d7f97a5fc58d0d5fdcc15a0b3dcf,1,F241573,,,period,case_period_end,LOW,UNRESOLVED,pending
event_c7f3782f80c07c72d34384aaa0115ebe6e8d7b8fe99c709418ae28609755f306,data/I_images/F257178/image_001.jpg,True,True,19682,306,204,JPEG,,f1809c4aa7f3b76f773345c157c59c3c5a6335b5aa81b983b28c0d4d5bee343c,1,F257178,,,period,case_period_end,LOW,UNRESOLVED,pending
event_37e8061ac35461d7edfc58b1022d5e46424e84b520175f2584bebe67e12f17f5,data/I_images/F257178/image_002.jpg,True,True,19673,306,204,JPEG,,653b14a41f7713e2129c04571bf294d997c5a156420fa4aeac8c3f7ec2598a27,1,F257178,,,period,case_period_end,LOW,UNRESOLVED,pending
event_93f89a6b39d91d990a8d704874caf2a56b79cd175ab47721f0632517a1eea54d,data/I_images/F279269/image_001.jpg,True,True,20813,308,234,JPEG,,17fa7d4c358af1aa78e36c005c429efdc276df8e747ea7540709cde4e4c14336,1,F279269,,,period,case_period_end,LOW,UNRESOLVED,pending
event_e759b8ecca452dce6ac777f0aed028848954468941a87c94680ccbb86d6b5445,data/I_images/F295998/image_001.jpg,True,True,12834,306,204,JPEG,,318ba9cf00144d4781ae15734d364b41ba6bca1949c781afd7f1995fd6a2a772,1,F295998,,,period,case_period_end,LOW,UNRESOLVED,pending
event_48619178cbcc523e6ed3a0165b8f2451895240ecd2fd92bee3689ed61def2dfb,data/I_images/F295998/image_002.jpg,True,True,16912,306,204,JPEG,,29cf5d2bb006797327146e37302e565b382e72092c93c7cfc8373b141c4837b1,1,F295998,,,period,case_period_end,LOW,UNRESOLVED,pending
event_41af831a7d1544bba3b63c4144a487693849cf0ebf69c202a430e7cd128db57b,data/I_images/F302129/image_001.jpg,True,True,685056,3024,3024,JPEG,,e6edc6116afc56e19db7b8eb459905b150e4324ae9bf1557953b469d99e96ff7,1,F302129,,,period,case_period_end,LOW,UNRESOLVED,pending
event_06618df797015453694a8fbbe4892dc3489263ac0f199d7dd676335f32d261ef,data/I_images/F302129/image_002.jpg,True,True,720265,3024,3024,JPEG,,0094ae8d0ee236cfc97a07336686821960d0102b6ecb24054521d7ce6d019abc,1,F302129,,,period,case_period_end,LOW,UNRESOLVED,pending
event_4fc05760980807cf27949c241d5dda05bd2710aa4b02efb3571f682995aac8b0,data/I_images/F332196/image_001.jpg,True,True,1062080,3492,3492,JPEG,,9b68c1d9fe938971c1c7b1764a2be4c7ba81e868363c7ce6d7bd19af0ceb23b9,1,F332196,,,period,case_period_end,LOW,UNRESOLVED,pending
event_4ab153e7f6fe3583ff4741b4ac46a4f479734a1a5ae6de2646d69943790bdda7,data/I_images/F332196/image_002.jpg,True,True,857722,3492,3492,JPEG,,31df54684e83e8e0368ba513cfa40f90231b550533f738c9183946c965ca6d81,1,F332196,,,period,case_period_end,LOW,UNRESOLVED,pending
event_b180c0414423d2158a2c7cbb590b086d1aec6a4613c027b541681a6737224c9d,data/I_images/F332196/image_003.jpg,True,True,715369,3024,3024,JPEG,,cca49b6d5c260d4850ab1b947924de0b3274e8c02c521fc723a90869b1b4f66a,1,F332196,,,period,case_period_end,LOW,UNRESOLVED,pending
event_da3cca0d5ce0a7d9899a04e168417ea4fdcaa3aac59067eda274ff3fd1129608,data/I_images/F333620/image_001.jpg,True,True,17098,292,219,JPEG,,27b49f9358df831a6890948ca4dd587457cd68d013293a23507004fde1459f8e,1,F333620,,,period,case_period_end,LOW,UNRESOLVED,pending
event_0c4185b8a3338654cd32f5d793474609b03aaa7896fdcb09c068c64d8948bea8,data/I_images/F346854/image_001.jpg,True,True,14017,319,217,JPEG,,2d71e0aef51956a690d70ac9d5fea65772688d4af9efea74816ee7cc353c8b84,1,F346854,,,period,case_period_end,LOW,UNRESOLVED,pending
